941185367	20200817	202008	2020	2020.6219											BRA	BRAZIL	BRA								1	020	020	02	1	3.0	6	1	6	-0.45662100456621	0								4	Guaracy, SãPaulo, Brazil	BR	BR27	40197	-20.4833	-48.95	-645743	4	Guaracy, SãPaulo, Brazil	BR	BR27	40197	-20.4833	-48.95	-645743	20200817084500	http://www.pernambuco.com/noticia/divirtase/2020/08/fina-estampa-esther-decide-buscar-vitoria-na-casa-de-campo-confira-o.html
941185368	20200817	202008	2020	2020.6219											BRA	BRAZIL	BRA								1	042	042	04	1	1.9	8	1	8	-0.45662100456621	0								4	Guaracy, SãPaulo, Brazil	BR	BR27	40197	-20.4833	-48.95	-645743	4	Guaracy, SãPaulo, Brazil	BR	BR27	40197	-20.4833	-48.95	-645743	20200817084500	http://www.pernambuco.com/noticia/divirtase/2020/08/fina-estampa-esther-decide-buscar-vitoria-na-casa-de-campo-confira-o.html
941185369	20200817	202008	2020	2020.6219											BRA	BRAZIL	BRA								1	130	130	13	3	-4.4	8	1	8	-0.45662100456621	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200817084500	http://www.pernambuco.com/noticia/divirtase/2020/08/fina-estampa-esther-decide-buscar-vitoria-na-casa-de-campo-confira-o.html
941185370	20200817	202008	2020	2020.6219											BUS	TOURISM INDUSTRY						BUS			0	036	036	03	1	4.0	10	1	10	-3.86363636363637	0								4	Andalusia, Spain (general), Spain	SP	SP00	25778	37.6	-4.5	-370724	1	United Kingdom	UK	UK		54	-4	UK	20200817084500	https://www.heise.de/tp/features/Baskenland-zieht-die-Corona-Reissleine-mit-Gesundheits-Notstand-4871881.html
941185371	20200817	202008	2020	2020.6219											BUS	COMPANY						BUS			1	042	042	04	1	1.9	10	1	10	-1.65745856353591	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20200817084500	https://www.europasur.es/noticias-provincia-cadiz/Nervion-confia-lograr-contratos-Bahia-navantia_0_1492950778.html
941185372	20200817	202008	2020	2020.6219											BUS	COMPANY						BUS			1	112	112	11	3	-2.0	10	1	10	-1.97628458498023	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20200817084500	https://www.tecnoandroid.it/2020/08/17/tiktok-applicazione-spiava-utenti-android-778311
941185373	20200817	202008	2020	2020.6219											COL	COLOMBIAN	COL								0	025	025	02	1	-0.3	4	1	4	-1.17548278757347	0								4	Bogota, Cundinamarca, Colombia	CO	CO33	18585	4.6	-74.0833	-578472	4	Bogota, Cundinamarca, Colombia	CO	CO33	18585	4.6	-74.0833	-578472	20200817084500	https://www.dw.com/es/%C3%A1lvaro-uribe-sobre-su-detenci%C3%B3n-siento-que-estoy-secuestrado/a-54592055
941185374	20200817	202008	2020	2020.6219											COL	COLOMBIAN	COL								0	025	025	02	1	-0.3	6	1	6	-1.17548278757347	0								4	Jagual, Cundinamarca, Colombia	CO	CO33	13914	4.71667	-74.4833	-586833	4	Jagual, Cundinamarca, Colombia	CO	CO33	13914	4.71667	-74.4833	-586833	20200817084500	https://www.dw.com/es/%C3%A1lvaro-uribe-sobre-su-detenci%C3%B3n-siento-que-estoy-secuestrado/a-54592055
941185375	20200817	202008	2020	2020.6219											COL	COLOMBIA	COL								0	051	051	05	1	3.4	2	1	2	-1.17548278757347	0								4	Jagual, Cundinamarca, Colombia	CO	CO33	13914	4.71667	-74.4833	-586833	4	Jagual, Cundinamarca, Colombia	CO	CO33	13914	4.71667	-74.4833	-586833	20200817084500	https://www.dw.com/es/%C3%A1lvaro-uribe-sobre-su-detenci%C3%B3n-siento-que-estoy-secuestrado/a-54592055
941185376	20200817	202008	2020	2020.6219											COP	DEPUTY						COP			1	040	040	04	1	1.0	10	1	10	0	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20200817084500	https://365info.kz/2020/08/deputat-mazhilisa-obsudila-s-pedagogami-kostanaya-aktualnye-voprosy-obrazovaniya
941185377	20200817	202008	2020	2020.6219											COP	POLICE						COP			1	0841	084	08	2	7.0	10	1	10	-5.31914893617021	0								4	Amerika, Sachsen, Germany	GM	GM13	16563	50.7	12.5167	-1740006	4	Amerika, Sachsen, Germany	GM	GM13	16563	50.7	12.5167	-1740006	20200817084500	https://5minutes.rtl.lu/actu/monde/a/1565997.html
941185378	20200817	202008	2020	2020.6219											COP	LAW ENFORCEMENT AUTHORITIES						COP			0	175	175	17	4	-9.0	10	1	10	-3.10421286031042	0								4	Krai, Brestskaya Voblasts', Belarus	BO	BO01	39910	52.4965	26.0071	-1944777	4	Krai, Brestskaya Voblasts', Belarus	BO	BO01	39910	52.4965	26.0071	-1944777	20200817084500	https://pda.krsk.kp.ru/daily/217170/4271303/
941185379	20200817	202008	2020	2020.6219											COP	LAW ENFORCEMENT AUTHORITIES						COP			1	175	175	17	4	-9.0	10	1	10	-0.4524886877828	0								4	Almaty, Almaty Qalasy, Kazakhstan	KZ	KZ02	37206	43.25	76.95	-2334069	4	Almaty, Almaty Qalasy, Kazakhstan	KZ	KZ02	37206	43.25	76.95	-2334069	20200817084500	https://www.kommersant.ru/doc/4457941
941185380	20200817	202008	2020	2020.6219											CRM	CRIMINAL						CRM			1	061	061	06	2	6.4	10	1	10	0	0								1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20200817084500	https://www.yeniakit.com.tr/haber/ikinci-elde-guvenli-satis-donemi-1362069.html
941185381	20200817	202008	2020	2020.6219											CVL	TOURIST						CVL			0	020	020	02	1	3.0	2	1	2	-0.35618878005342	0								4	Ticino, Switzerland (general), Switzerland	SZ	SZ00	18364	45.15	9.23333	-2554456	4	Ticino, Switzerland (general), Switzerland	SZ	SZ00	18364	45.15	9.23333	-2554456	20200817084500	https://www.swissinfo.ch/fre/val%C3%A9rie-dupont---la-crise-du-coronavirus-nous-a-fait-sortir-de-notre-routine-journalistique-/45931556
941185382	20200817	202008	2020	2020.6219											CVL	TRAVELLER						CVL			1	043	043	04	1	2.8	10	1	10	0	0								4	Rawalpindi, Punjab, Pakistan	PK	PK04	23674	33.6	73.0667	-2772585	4	Rawalpindi, Punjab, Pakistan	PK	PK04	23674	33.6	73.0667	-2772585	20200817084500	https://5minutes.rtl.lu/actu/luxembourg/a/1566036.html
941185383	20200817	202008	2020	2020.6219											CZE	CZECH REPUBLIC	CZE								0	046	046	04	1	7.0	6	1	6	-0.28536485935589	0								4	Vltava, Jihoceský, Czech Republic	EZ	EZ79	14817	48.7943	13.9379	-558243	4	Vltava, Jihoceský, Czech Republic	EZ	EZ79	14817	48.7943	13.9379	-558243	20200817084500	http://www.agris.cz/clanek/211428
941185384	20200817	202008	2020	2020.6219											EDU	SCHOOL						EDU			1	043	043	04	1	2.8	10	1	10	6.0702875399361	0								4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	20200817084500	https://www.in.gr/2020/08/17/entertainment/cinema/mants-mikelsen-timitiko-vraveio-gia-ti-syneisfora-tou-ston-kinimatografo/
941185385	20200817	202008	2020	2020.6219											ESP	SPAIN	ESP								1	042	042	04	1	1.9	8	1	8	-0.0904159132007298	0								4	San Roque, AndalucíSP, Spain	SP	SP51	25779	36.8361	-2.96923	-401467	4	San Roque, AndalucíSP, Spain	SP	SP51	25779	36.8361	-2.96923	-401467	20200817084500	https://www.europasur.es/san_roque/Guardia-Civil-XXVIII_0_1492650891.html
